Group	SubGroup	Protein	Protein ID	Entry Name	Gene	Length	Percent Coverage	Organism	Protein Description	Protein Existence	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
624	a	sp|Q99733|NP1L4_HUMAN	Q99733	NP1L4_HUMAN	NAP1L4	375	13.10	Homo sapiens OX=9606	Nucleosome assembly protein 1-like 4 	1:Experimental evidence at protein level	1.0000	0.9990	3	2	2	3	2	2	     0	     0	     0	14C(57.0215), 17C(57.0215)		
625	a	sp|Q99798|ACON_HUMAN	Q99798	ACON_HUMAN	ACO2	780	10.30	Homo sapiens OX=9606	Aconitate hydratase, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	4	4	4	     0	     0	     0	9C(57.0215)		
626	a	sp|Q99832|TCPH_HUMAN	Q99832	TCPH_HUMAN	CCT7	543	16.90	Homo sapiens OX=9606	T-complex protein 1 subunit eta 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	6	6	6	     0	     0	     0	19C(57.0215), 5C(57.0215)		
627	a	sp|Q9BQ69|MACD1_HUMAN	Q9BQ69	MACD1_HUMAN	MACROD1	325	11.40	Homo sapiens OX=9606	ADP-ribose glycohydrolase MACROD1 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0	2C(57.0215)		
628	a	sp|Q9BQG0|MBB1A_HUMAN	Q9BQG0	MBB1A_HUMAN	MYBBP1A	1328	3.70	Homo sapiens OX=9606	Myb-binding protein 1A 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	     0	     0	     0			
629	a	sp|Q9BSJ8|ESYT1_HUMAN	Q9BSJ8	ESYT1_HUMAN	ESYT1	1104	7.50	Homo sapiens OX=9606	Extended synaptotagmin-1 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	6	6	6	     0	     0	     0			
630	a	sp|Q9BTT0|AN32E_HUMAN	Q9BTT0	AN32E_HUMAN	ANP32E	268	12.70	Homo sapiens OX=9606	Acidic leucine-rich nuclear phosphoprotein 32 family member E 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	3	3	3	     0	     0	     0	7C(57.0215)		
631	a	sp|Q9BTV4|TMM43_HUMAN	Q9BTV4	TMM43_HUMAN	TMEM43	400	10.20	Homo sapiens OX=9606	Transmembrane protein 43 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0			
632	a	sp|Q9BVP2|GNL3_HUMAN	Q9BVP2	GNL3_HUMAN	GNL3	549	15.70	Homo sapiens OX=9606	Guanine nucleotide-binding protein-like 3 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	5	5	5	     0	     0	     0			
633	a	sp|Q9BWD1|THIC_HUMAN	Q9BWD1	THIC_HUMAN	ACAT2	397	11.80	Homo sapiens OX=9606	Acetyl-CoA acetyltransferase, cytosolic 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	3	3	3	     0	     0	     0	19C(57.0215), 21C(57.0215)		
634	a	sp|Q9BWJ5|SF3B5_HUMAN	Q9BWJ5	SF3B5_HUMAN	SF3B5	86	27.90	Homo sapiens OX=9606	Splicing factor 3B subunit 5 	1:Experimental evidence at protein level	1.0000	0.9989	2	2	2	2	2	2	     0	     0	     0			
635	a	sp|Q9BX68|HINT2_HUMAN	Q9BX68	HINT2_HUMAN	HINT2	163	31.90	Homo sapiens OX=9606	Histidine triad nucleotide-binding protein 2, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9987	3	3	3	4	4	4	     0	     0	     0	13C(57.0215)	Pro->HAVA(18.010500)	
636	a	sp|Q9BXJ9|NAA15_HUMAN	Q9BXJ9	NAA15_HUMAN	NAA15	866	2.80	Homo sapiens OX=9606	N-alpha-acetyltransferase 15, NatA auxiliary subunit 	1:Experimental evidence at protein level	1.0000	0.9970	2	2	2	3	3	3	     0	     0	     0			
637	a	sp|Q9BXS5|AP1M1_HUMAN	Q9BXS5	AP1M1_HUMAN	AP1M1	423	7.30	Homo sapiens OX=9606	AP-1 complex subunit mu-1 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0			
638	a	sp|Q9BY44|EIF2A_HUMAN	Q9BY44	EIF2A_HUMAN	EIF2A	585	10.60	Homo sapiens OX=9606	Eukaryotic translation initiation factor 2A 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	     0	     0	     0	12C(57.0215), 23C(57.0215)		
639	a	sp|Q9BYG3|MK67I_HUMAN	Q9BYG3	MK67I_HUMAN	NIFK	293	12.30	Homo sapiens OX=9606	MKI67 FHA domain-interacting nucleolar phosphoprotein 	1:Experimental evidence at protein level	1.0000	0.9978	2	2	2	3	3	3	     0	     0	     0	N-term(42.0106)		
640	a	sp|Q9BZE4|GTPB4_HUMAN	Q9BZE4	GTPB4_HUMAN	GTPBP4	634	5.20	Homo sapiens OX=9606	GTP-binding protein 4 	1:Experimental evidence at protein level	1.0000	0.9989	2	2	2	2	2	2	     0	     0	     0			
641	a	sp|Q9GZL7|WDR12_HUMAN	Q9GZL7	WDR12_HUMAN	WDR12	423	7.30	Homo sapiens OX=9606	Ribosome biogenesis protein WDR12 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0			
642	a	sp|Q9H0A0|NAT10_HUMAN	Q9H0A0	NAT10_HUMAN	NAT10	1025	3.70	Homo sapiens OX=9606	RNA cytidine acetyltransferase 	1:Experimental evidence at protein level	1.0000	0.9987	2	2	2	2	2	2	     0	     0	     0			
643	a	sp|Q9H2U2|IPYR2_HUMAN	Q9H2U2	IPYR2_HUMAN	PPA2	334	9.30	Homo sapiens OX=9606	Inorganic pyrophosphatase 2, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0			
644	a	sp|Q9H307|PININ_HUMAN	Q9H307	PININ_HUMAN	PNN	717	3.90	Homo sapiens OX=9606	Pinin 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0			
645	a	sp|Q9H3K6|BOLA2_HUMAN	Q9H3K6	BOLA2_HUMAN	BOLA2	86	40.70	Homo sapiens OX=9606	BolA-like protein 2 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	3	3	3	     0	     0	     0	5C(57.0215)		
646	a	sp|Q9H4A4|AMPB_HUMAN	Q9H4A4	AMPB_HUMAN	RNPEP	650	8.50	Homo sapiens OX=9606	Aminopeptidase B 	1:Experimental evidence at protein level	1.0000	0.9987	3	3	3	4	4	4	     0	     0	     0			
647	a	sp|Q9H6F5|CCD86_HUMAN	Q9H6F5	CCD86_HUMAN	CCDC86	360	9.20	Homo sapiens OX=9606	Coiled-coil domain-containing protein 86 	1:Experimental evidence at protein level	1.0000	0.9936	2	2	2	2	2	2	     0	     0	     0			
648	a	sp|Q9H7Z7|PGES2_HUMAN	Q9H7Z7	PGES2_HUMAN	PTGES2	377	11.90	Homo sapiens OX=9606	Prostaglandin E synthase 2 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0			
649	a	sp|Q9NQC3|RTN4_HUMAN	Q9NQC3	RTN4_HUMAN	RTN4	1192	5.50	Homo sapiens OX=9606	Reticulon-4 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	     0	     0	     0	N-term(42.0106)	Phospho(79.966300)	
650	a	sp|Q9NR30|DDX21_HUMAN	Q9NR30	DDX21_HUMAN	DDX21	783	13.50	Homo sapiens OX=9606	Nucleolar RNA helicase 2 	1:Experimental evidence at protein level	1.0000	0.9990	7	7	7	8	8	8	     0	     0	     0	15C(57.0215), 4C(57.0215), 6C(57.0215)		
651	a	sp|Q9NR45|SIAS_HUMAN	Q9NR45	SIAS_HUMAN	NANS	359	12.00	Homo sapiens OX=9606	Sialic acid synthase 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	3	3	3	     0	     0	     0	11C(57.0215), 7C(57.0215)		
652	a	sp|Q9NSD9|SYFB_HUMAN	Q9NSD9	SYFB_HUMAN	FARSB	589	5.40	Homo sapiens OX=9606	Phenylalanine--tRNA ligase beta subunit 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0			
653	a	sp|Q9NTJ3|SMC4_HUMAN	Q9NTJ3	SMC4_HUMAN	SMC4	1288	3.50	Homo sapiens OX=9606	Structural maintenance of chromosomes protein 4 	1:Experimental evidence at protein level	1.0000	0.9988	3	3	3	3	3	3	     0	     0	     0			
654	a	sp|Q9NTK5|OLA1_HUMAN	Q9NTK5	OLA1_HUMAN	OLA1	396	11.90	Homo sapiens OX=9606	Obg-like ATPase 1 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	     0	     0	     0	20C(57.0215), 5C(57.0215), 9C(57.0215)		
655	a	sp|Q9NVI7|ATD3A_HUMAN	Q9NVI7	ATD3A_HUMAN	ATAD3A	634	5.00	Homo sapiens OX=9606	ATPase family AAA domain-containing protein 3A 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0			
656	a	sp|Q9NWV4|CZIB_HUMAN	Q9NWV4	CZIB_HUMAN	CZIB	160	20.60	Homo sapiens OX=9606	CXXC motif containing zinc binding protein 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0			
657	a	sp|Q9NYF8|BCLF1_HUMAN	Q9NYF8	BCLF1_HUMAN	BCLAF1	920	3.00	Homo sapiens OX=9606	Bcl-2-associated transcription factor 1 	1:Experimental evidence at protein level	1.0000	0.9941	2	2	2	2	2	2	     0	     0	     0			
658	a	sp|Q9NYU2|UGGG1_HUMAN	Q9NYU2	UGGG1_HUMAN	UGGT1	1555	2.90	Homo sapiens OX=9606	UDP-glucose:glycoprotein glucosyltransferase 1 	1:Experimental evidence at protein level	1.0000	0.9989	2	2	2	2	2	2	     0	     0	     0	2C(57.0215)		
659	a	sp|Q9NZ01|TECR_HUMAN	Q9NZ01	TECR_HUMAN	TECR	308	6.50	Homo sapiens OX=9606	Very-long-chain enoyl-CoA reductase 	1:Experimental evidence at protein level	1.0000	0.9936	2	2	2	2	2	2	     0	     0	     0			
660	a	sp|Q9NZ45|CISD1_HUMAN	Q9NZ45	CISD1_HUMAN	CISD1	108	36.10	Homo sapiens OX=9606	CDGSH iron-sulfur domain-containing protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	4	4	4	     0	     0	     0	5C(57.0215)		
661	a	sp|Q9NZM1|MYOF_HUMAN	Q9NZM1	MYOF_HUMAN	MYOF	2061	1.60	Homo sapiens OX=9606	Myoferlin 	1:Experimental evidence at protein level	1.0000	0.9933	2	2	2	2	2	2	     0	     0	     0	7C(57.0215)		
662	a	sp|Q9P035|HACD3_HUMAN	Q9P035	HACD3_HUMAN	HACD3	362	8.80	Homo sapiens OX=9606	Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 3 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0			
663	a	sp|Q9P0L0|VAPA_HUMAN	Q9P0L0	VAPA_HUMAN	VAPA	249	25.30	Homo sapiens OX=9606	Vesicle-associated membrane protein-associated protein A 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	8	8	8	     0	     0	     0			
664	a	sp|Q9P258|RCC2_HUMAN	Q9P258	RCC2_HUMAN	RCC2	522	17.20	Homo sapiens OX=9606	Protein RCC2 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	5	5	5	     0	     0	     0	4C(57.0215), 7C(57.0215), 8C(57.0215)		
665	a	sp|Q9P287|BCCIP_HUMAN	Q9P287	BCCIP_HUMAN	BCCIP	314	12.40	Homo sapiens OX=9606	BRCA2 and CDKN1A-interacting protein 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0			
666	a	sp|Q9P2J5|SYLC_HUMAN	Q9P2J5	SYLC_HUMAN	LARS1	1176	3.60	Homo sapiens OX=9606	Leucine--tRNA ligase, cytoplasmic 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0			
667	a	sp|Q9P2R7|SUCB1_HUMAN	Q9P2R7	SUCB1_HUMAN	SUCLA2	463	9.70	Homo sapiens OX=9606	Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0			
668	a	sp|Q9UBQ7|GRHPR_HUMAN	Q9UBQ7	GRHPR_HUMAN	GRHPR	328	12.80	Homo sapiens OX=9606	Glyoxylate reductase/hydroxypyruvate reductase 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0			
669	a	sp|Q9UBS4|DJB11_HUMAN	Q9UBS4	DJB11_HUMAN	DNAJB11	358	11.70	Homo sapiens OX=9606	DnaJ homolog subfamily B member 11 	1:Experimental evidence at protein level	1.0000	0.9978	2	2	2	2	2	2	     0	     0	     0			
670	a	sp|Q9UBT2|SAE2_HUMAN	Q9UBT2	SAE2_HUMAN	UBA2	640	7.20	Homo sapiens OX=9606	SUMO-activating enzyme subunit 2 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0	2C(57.0215)		
671	a	sp|Q9UGP8|SEC63_HUMAN	Q9UGP8	SEC63_HUMAN	SEC63	760	4.20	Homo sapiens OX=9606	Translocation protein SEC63 homolog 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0			
672	a	sp|Q9UHD1|CHRD1_HUMAN	Q9UHD1	CHRD1_HUMAN	CHORDC1	332	12.00	Homo sapiens OX=9606	Cysteine and histidine-rich domain-containing protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0	11C(57.0215)		
673	a	sp|Q9UHX1|PUF60_HUMAN	Q9UHX1	PUF60_HUMAN	PUF60	559	6.80	Homo sapiens OX=9606	Poly(U)-binding-splicing factor PUF60 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	     0	     0	     0			
674	a	sp|Q9UK76|JUPI1_HUMAN	Q9UK76	JUPI1_HUMAN	JPT1	154	52.60	Homo sapiens OX=9606	Jupiter microtubule associated homolog 1 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	4	4	4	     0	     0	     0			
675	a	sp|Q9UKK9|NUDT5_HUMAN	Q9UKK9	NUDT5_HUMAN	NUDT5	219	19.20	Homo sapiens OX=9606	ADP-sugar pyrophosphatase 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	     0	     0	     0	6C(57.0215)		
676	a	sp|Q9UKV3|ACINU_HUMAN	Q9UKV3	ACINU_HUMAN	ACIN1	1341	2.10	Homo sapiens OX=9606	Apoptotic chromatin condensation inducer in the nucleus 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0	3C(57.0215)		
677	a	sp|Q9UKY7|CDV3_HUMAN	Q9UKY7	CDV3_HUMAN	CDV3	258	27.50	Homo sapiens OX=9606	Protein CDV3 homolog 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	3	3	3	     0	     0	     0			
678	a	sp|Q9UL46|PSME2_HUMAN	Q9UL46	PSME2_HUMAN	PSME2	239	14.20	Homo sapiens OX=9606	Proteasome activator complex subunit 2 	1:Experimental evidence at protein level	1.0000	0.9987	2	2	2	2	2	2	     0	     0	     0			
679	a	sp|Q9UMS4|PRP19_HUMAN	Q9UMS4	PRP19_HUMAN	PRPF19	504	32.10	Homo sapiens OX=9606	Pre-mRNA-processing factor 19 	1:Experimental evidence at protein level	1.0000	0.9990	7	7	7	13	13	13	     0	     0	     0	12C(57.0215), 14C(57.0215), 15C(57.0215), 22C(57.0215), 4C(57.0215), 8C(57.0215), N-term(42.0106)		
680	a	sp|Q9UN86|G3BP2_HUMAN	Q9UN86	G3BP2_HUMAN	G3BP2	482	10.60	Homo sapiens OX=9606	Ras GTPase-activating protein-binding protein 2 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	     0	     0	     0	9C(57.0215)		
681	a	sp|Q9UNH7|SNX6_HUMAN	Q9UNH7	SNX6_HUMAN	SNX6	406	4.70	Homo sapiens OX=9606	Sorting nexin-6 	1:Experimental evidence at protein level	1.0000	0.9985	2	2	2	2	2	2	     0	     0	     0			
682	a	sp|Q9UNM6|PSD13_HUMAN	Q9UNM6	PSD13_HUMAN	PSMD13	376	22.60	Homo sapiens OX=9606	26S proteasome non-ATPase regulatory subunit 13 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	5	5	5	     0	     0	     0	7C(57.0215)		
683	a	sp|Q9UQ80|PA2G4_HUMAN	Q9UQ80	PA2G4_HUMAN	PA2G4	394	21.10	Homo sapiens OX=9606	Proliferation-associated protein 2G4 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	8	8	8	     0	     0	     0	13C(57.0215), 15C(57.0215), 5C(57.0215), 7C(57.0215), N-term(42.0106)	Carbamyl(43.005800)	
684	a	sp|Q9UQE7|SMC3_HUMAN	Q9UQE7	SMC3_HUMAN	SMC3	1217	3.60	Homo sapiens OX=9606	Structural maintenance of chromosomes protein 3 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	     0	     0	     0			
685	a	sp|Q9Y221|NIP7_HUMAN	Q9Y221	NIP7_HUMAN	NIP7	180	23.90	Homo sapiens OX=9606	60S ribosome subunit biogenesis protein NIP7 homolog 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	     0	     0	     0			
686	a	sp|Q9Y262|EIF3L_HUMAN	Q9Y262	EIF3L_HUMAN	EIF3L	564	5.90	Homo sapiens OX=9606	Eukaryotic translation initiation factor 3 subunit L 	1:Experimental evidence at protein level	1.0000	0.9983	3	3	3	3	3	3	     0	     0	     0			
687	a	sp|Q9Y265|RUVB1_HUMAN	Q9Y265	RUVB1_HUMAN	RUVBL1	456	24.30	Homo sapiens OX=9606	RuvB-like 1 	1:Experimental evidence at protein level	1.0000	0.9990	7	7	7	7	7	7	     0	     0	     0			
688	a	sp|Q9Y266|NUDC_HUMAN	Q9Y266	NUDC_HUMAN	NUDC	331	9.10	Homo sapiens OX=9606	Nuclear migration protein nudC 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	3	3	3	     0	     0	     0			
689	a	sp|Q9Y277|VDAC3_HUMAN	Q9Y277	VDAC3_HUMAN	VDAC3	283	15.20	Homo sapiens OX=9606	Voltage-dependent anion-selective channel protein 3 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0			
690	a	sp|Q9Y2B0|CNPY2_HUMAN	Q9Y2B0	CNPY2_HUMAN	CNPY2	182	29.10	Homo sapiens OX=9606	Protein canopy homolog 2 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	4	4	4	     0	     0	     0	13C(57.0215), 6C(57.0215), 9C(57.0215)		
691	a	sp|Q9Y2T3|GUAD_HUMAN	Q9Y2T3	GUAD_HUMAN	GDA	454	8.60	Homo sapiens OX=9606	Guanine deaminase 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0	10C(57.0215)		
692	a	sp|Q9Y2W1|TR150_HUMAN	Q9Y2W1	TR150_HUMAN	THRAP3	955	5.20	Homo sapiens OX=9606	Thyroid hormone receptor-associated protein 3 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	     0	     0	     0			
693	a	sp|Q9Y2X3|NOP58_HUMAN	Q9Y2X3	NOP58_HUMAN	NOP58	529	10.20	Homo sapiens OX=9606	Nucleolar protein 58 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	     0	     0	     0	5C(57.0215)		
694	a	sp|Q9Y305|ACOT9_HUMAN	Q9Y305	ACOT9_HUMAN	ACOT9	439	7.70	Homo sapiens OX=9606	Acyl-coenzyme A thioesterase 9, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	3	3	3	     0	     0	     0			
695	a	sp|Q9Y3B3|TMED7_HUMAN	Q9Y3B3	TMED7_HUMAN	TMED7	224	14.30	Homo sapiens OX=9606	Transmembrane emp24 domain-containing protein 7 	1:Experimental evidence at protein level	1.0000	0.9989	2	2	2	2	2	2	     0	     0	     0	11C(57.0215), 2C(57.0215)		
696	a	sp|Q9Y3E5|PTH2_HUMAN	Q9Y3E5	PTH2_HUMAN	PTRH2	179	21.20	Homo sapiens OX=9606	Peptidyl-tRNA hydrolase 2, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0			
697	a	sp|Q9Y3F4|STRAP_HUMAN	Q9Y3F4	STRAP_HUMAN	STRAP	350	19.70	Homo sapiens OX=9606	Serine-threonine kinase receptor-associated protein 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	5	5	5	     0	     0	     0	8C(57.0215)		
698	a	sp|Q9Y3I0|RTCB_HUMAN	Q9Y3I0	RTCB_HUMAN	RTCB	505	7.70	Homo sapiens OX=9606	RNA-splicing ligase RtcB homolog 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0			
699	a	sp|Q9Y490|TLN1_HUMAN	Q9Y490	TLN1_HUMAN	TLN1	2541	12.20	Homo sapiens OX=9606	Talin-1 	1:Experimental evidence at protein level	1.0000	0.9990	16	16	16	16	16	16	     0	     0	     0	10C(57.0215), 11C(57.0215), 17C(57.0215), 7C(57.0215)		
700	a	sp|Q9Y4L1|HYOU1_HUMAN	Q9Y4L1	HYOU1_HUMAN	HYOU1	999	13.90	Homo sapiens OX=9606	Hypoxia up-regulated protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	7	7	7	8	8	8	     0	     0	     0			
701	a	sp|Q9Y512|SAM50_HUMAN	Q9Y512	SAM50_HUMAN	SAMM50	469	10.40	Homo sapiens OX=9606	Sorting and assembly machinery component 50 homolog 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0	11C(57.0215)		
702	a	sp|Q9Y5B9|SP16H_HUMAN	Q9Y5B9	SP16H_HUMAN	SUPT16H	1047	3.50	Homo sapiens OX=9606	FACT complex subunit SPT16 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0			
703	a	sp|Q9Y5K5|UCHL5_HUMAN	Q9Y5K5	UCHL5_HUMAN	UCHL5	329	9.10	Homo sapiens OX=9606	Ubiquitin carboxyl-terminal hydrolase isozyme L5 	1:Experimental evidence at protein level	1.0000	0.9988	2	2	2	2	2	2	     0	     0	     0			
704	a	sp|Q9Y5S9|RBM8A_HUMAN	Q9Y5S9	RBM8A_HUMAN	RBM8A	174	25.90	Homo sapiens OX=9606	RNA-binding protein 8A 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0	N-term(42.0106)		
705	a	sp|Q9Y617|SERC_HUMAN	Q9Y617	SERC_HUMAN	PSAT1	370	15.40	Homo sapiens OX=9606	Phosphoserine aminotransferase 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	4	4	4	     0	     0	     0	17C(57.0215)	Delta:H(4)C(3)(40.031300)	
706	a	sp|Q9Y678|COPG1_HUMAN	Q9Y678	COPG1_HUMAN	COPG1	874	4.30	Homo sapiens OX=9606	Coatomer subunit gamma-1 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0	8C(57.0215)		
707	a	sp|Q9Y696|CLIC4_HUMAN	Q9Y696	CLIC4_HUMAN	CLIC4	253	38.70	Homo sapiens OX=9606	Chloride intracellular channel protein 4 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	6	6	6	     0	     0	     0	10C(57.0215)		
708	a	sp|Q9Y6B6|SAR1B_HUMAN	Q9Y6B6	SAR1B_HUMAN	SAR1B	198	13.10	Homo sapiens OX=9606	GTP-binding protein SAR1b 	1:Experimental evidence at protein level	1.0000	0.9989	2	2	2	2	2	2	     0	     0	     0			
709	a	sp|Q9Y6C9|MTCH2_HUMAN	Q9Y6C9	MTCH2_HUMAN	MTCH2	303	21.80	Homo sapiens OX=9606	Mitochondrial carrier homolog 2 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	4	4	4	     0	     0	     0	2C(57.0215), 3C(57.0215)		
710	a	sp|E9PAV3|NACAM_HUMAN	E9PAV3	NACAM_HUMAN	NACA	2078	1.10	Homo sapiens OX=9606	Nascent polypeptide-associated complex subunit alpha, muscle-specific form 	1:Experimental evidence at protein level	1.0000	0.9987	2	1	2	2	1	2	     0	     0	     0			
711	a	sp|O00571|DDX3X_HUMAN	O00571	DDX3X_HUMAN	DDX3X	662	18.90	Homo sapiens OX=9606	ATP-dependent RNA helicase DDX3X 	1:Experimental evidence at protein level	1.0000	0.9990	7	1	7	10	2	10	     0	     0	     0	16C(57.0215), 2C(57.0215), 6C(57.0215), N-term(42.0106)		
712	a	sp|O14818|PSA7_HUMAN	O14818	PSA7_HUMAN	PSMA7	248	22.60	Homo sapiens OX=9606	Proteasome subunit alpha type-7 	1:Experimental evidence at protein level	1.0000	0.9990	3	1	3	3	1	3	     0	     0	     0	2C(57.0215), 9C(57.0215)		
713	a	sp|O43707|ACTN4_HUMAN	O43707	ACTN4_HUMAN	ACTN4	911	29.10	Homo sapiens OX=9606	Alpha-actinin-4 	1:Experimental evidence at protein level	1.0000	0.9990	19	15	19	23	19	23	     0	     0	     0	2C(57.0215)		
713	b	sp|P12814|ACTN1_HUMAN	P12814	ACTN1_HUMAN	ACTN1	892	15.60	Homo sapiens OX=9606	Alpha-actinin-1 	1:Experimental evidence at protein level	1.0000	0.9990	11	8	8	11	8	8	     0	     0	     0	2C(57.0215)		
713	c	sp|Q08043|ACTN3_HUMAN	Q08043	ACTN3_HUMAN	ACTN3	901	1.70	Homo sapiens OX=9606	Alpha-actinin-3 	1:Experimental evidence at protein level	0.9998	0.9990	2	1	1	2	1	1	     0	     0	     0			
714	a	sp|O60814|H2B1K_HUMAN	O60814	H2B1K_HUMAN	H2BC12	126	27.00	Homo sapiens OX=9606	Histone H2B type 1-K 	1:Experimental evidence at protein level	1.0000	0.9990	3	0	3	12	0	12	     0	     0	     0	5M(15.9949)		sp|P06899|H2B1J_HUMAN, sp|P23527|H2B1O_HUMAN, sp|P33778|H2B1B_HUMAN, sp|P57053|H2BFS_HUMAN, sp|P58876|H2B1D_HUMAN, sp|P62807|H2B1C_HUMAN, sp|Q16778|H2B2E_HUMAN, sp|Q5QNW6|H2B2F_HUMAN, sp|Q8N257|H2B3B_HUMAN, sp|Q93079|H2B1H_HUMAN, sp|Q99877|H2B1N_HUMAN, sp|Q99879|H2B1M_HUMAN, sp|Q99880|H2B1L_HUMAN
715	a	sp|O75367|H2AY_HUMAN	O75367	H2AY_HUMAN	MACROH2A1	372	29.00	Homo sapiens OX=9606	Core histone macro-H2A.1 	1:Experimental evidence at protein level	1.0000	0.9990	7	6	7	9	8	9	     0	     0	     0	2C(57.0215), 5C(57.0215)	Carbamyl(43.005800)	
716	a	sp|P00367|DHE3_HUMAN	P00367	DHE3_HUMAN	GLUD1	558	17.40	Homo sapiens OX=9606	Glutamate dehydrogenase 1, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	6	1	6	8	1	8	     0	     0	     0	13C(57.0215), 2C(57.0215)		
